Account Name,Account ID,Tier,NTEE code,EIN,One time donations amount,Recurring donations amount,Total Donations Amount,FRU - Sector,FRU - Subsector
Southborough Safe Spaces,AABRHXAV,Tier 6 (<$5K),R01,88-4275795,"$2,014",$464,"$2,478",Human Services,"Human Services - Civil Rights, Social Justice"
A Child's Notebook,AVLQSTEV,,,,"$2,477",$0,"$2,477",,
MATW Ambassadors,AEJAZSLL,,,,"$2,430",$46,"$2,476",,
Federación de Clubes Michoacanos en Illinois,ASJHQVUM,,"P84: Ethnic, Immigrant Centers and Services",,"$2,364",$109,"$2,473",Human Services,"Human Services - Housing, Shelter"
Ability Montana,AKKQDMVH,,,,"$2,468",$0,"$2,468",Human Services,"Human Services - Housing, Shelter"
"Tierra Roja Cuxtitali Community Center, A.C.",AYYLEKRQ,,,,"$2,468",$0,"$2,468",,
HHA US,AFJMTSGL,,,,$0,"$2,464","$2,464",,
LIA Relief Trust,AMENKTJH,Tier 6 (<$5K),,,$0,"$2,456","$2,456",,
Vida Plena,ADWHXDJQ,Tier 6 (<$5K),F11,87-4372490,"$2,063",$390,"$2,453",Healthcare,"Healthcare - Mental Health, Abuse"
The Library Project,AFKKBDPZ,Tier 6 (<$5K),Q02,20-1347443,$852,"$1,582","$2,435",Education,Education - General
Djimon Hounsou Foundation,AXYYDDYD,Tier 6 (<$5K),Q70,84-4658138,"$1,908",$525,"$2,433",International Affairs,International Affairs - General
Southern California Soaring Academy,AVVGYZPY,Tier 6 (<$5K),B90,26-4006234,"$1,781",$643,"$2,424",Education,Education - General
Justice Climate Fund,ADETGHAQ,,C35,93-1360335,"$2,423",$0,"$2,423",,
Metro Silicon Valley,AFSARYLM,,,,$190,"$2,224","$2,414",,
J.W. Patterson Foundation,AJJDPDPV,Tier 6 (<$5K),B12,46-1014263,"$2,302",$100,"$2,402",Education,Education - General
dream: success,AUMHPMDS,Tier 6 (<$5K),,,$0,"$2,401","$2,401",Human Services,Human Services - General
Friends of Internationals,ATYBRJTZ,,,,"$2,396",$0,"$2,396",,
Los Angeles Cleantech Incubator,ABJXEDHQ,Tier 6 (<$5K),S43,45-4998717,"$1,217","$1,160","$2,378",Public and Society Benefit,Public & Society Benefit - General
Adoption Focus,AZGGPBPS,,,,"$1,892",$481,"$2,373",,
America's Revival,AUFKQYKK,Tier 6 (<$5K),,,"$1,526",$813,"$2,339",,
Remedy,AJPDZFLG,,,,"$2,320",$11,"$2,332",,
Chill Switzerland,ACAMFLZE,,,,"$2,253",$66,"$2,319",,
Mosaic Middle East,AAELGWAL,,,,"$2,318",$0,"$2,318",,
ændre,APCDNTTV,,,,"$2,297",$0,"$2,297",,
Long Beach Fresh,AWNYFNPW,,P30: Childrens and Youth Services,,"$1,585",$699,"$2,284",Human Services,Human Services - General
Tzu Chi USA - Central Region,AFUNSSKA,,,,"$2,283",$0,"$2,283",,
Liberale Jüdische Gemeinde Hannover K.d.ö.R,ARPZJESR,,,,"$1,933",$348,"$2,281",,
Reading Theater Project,AVSEAXYD,Tier 6 (<$5K),A65,71-0925966,"$2,080",$194,"$2,274",Arts & Culture,Arts & Culture - General
Dog Meat Trade Dachshund Rescue & Support Group (DMT DRSG),AMEDDQQF,,,,"$1,959",$282,"$2,240",,
"Rehabilitation Enables Dreams, Inc.",AEKRVAWY,Tier 6 (<$5K),J30,47-3505091,$365,"$1,871","$2,237",Public and Society Benefit,"Public & Society Benefit - Employment, Job"
Pelagios Kakunjá,ACDWWNYC,,,,"$2,105",$131,"$2,236",,
Madison is for People,AJSBKWLU,,,,$0,"$2,235","$2,235",,
The Taras Oceanographic Foundation,AQHWXGMT,Tier 6 (<$5K),D30,65-1052460,"$1,641",$590,"$2,231",Animal Welfare,Animal Welfare - General
Dar Al Islam,AMAQEMKM,,,85-0281016,"$1,730",$500,"$2,230",,
The Canadian Wildlife Federation,ASBNVYMX,Tier 3 ($20K–$50K),,,$0,"$2,223","$2,223",Animal Welfare,Animal Welfare - General
Songrise International,AXDKDAKB,,,,"$2,054",$163,"$2,217",,
A World of Neighbours Stichting,ADFWDJEA,,,,"$2,037",$174,"$2,211",,
Youth Science Canada,ACVKDPVG,Tier 6 (<$5K),,,"$1,002","$1,205","$2,207",,
Hepatitis Education Project (HEP),AZSSNYGL,Tier 6 (<$5K),,,$846,"$1,355","$2,201",,
Afrika Tikkun,AQHRQWPJ,Tier 6 (<$5K),,,"$1,039","$1,147","$2,185",International Affairs,International Affairs - General
ParentsTogether Foundation,AGZJNTUQ,Tier 5 ($5K–10K),P20,46-4838094,"$1,589",$593,"$2,182",Human Services,Human Services - General
Street Soccer USA CHI,ARKYFGYL,,,,"$1,647",$528,"$2,175",,
Next Step Foundation,AKJCXMQL,Tier 6 (<$5K),,,"$2,172",$0,"$2,172",International Affairs,International Affairs - General
Soma 501 Little Rock,AKHQHPBN,,A80,20-3571691,"$2,140",$28,"$2,168",Arts & Culture,Arts & Culture - General
Local News for Tulsa,AJJRFGJV,,,,"$1,511",$648,"$2,160",,
Habitat for Humanity of the Upper Keys,AKVQVYTG,Tier 6 (<$5K),L20Z,65-0169353,$508,"$1,650","$2,158",Human Services,"Human Services - Housing, Shelter"
American Archive of Public Broadcasting,ATRMTHTK,,,,"$1,789",$366,"$2,156",,
Variety - the Children's Charity of the United States,AWKTSLSL,Tier 6 (<$5K),,,"$1,335",$810,"$2,145",,
Rebuilding Together Charles County,ARYZYCDZ,Tier 6 (<$5K),,,"$2,108",$20,"$2,128",Human Services,"Human Services - Housing, Shelter"
Muslim Food Bank and Community Services,AAMYRLUX,,P20: Human Service Organizations,86-1954004,$27,"$1,741","$1,768",Human Services,Human Services - General
,AYJWEQKJ,Tier 6 (<$5K),,,$357,$0,$357,,
Stronger Together,AHEPWKWR,Tier 6 (<$5K),"R20: Civil Rights, Advocacy for Specific Groups",83-2323535,"$2,010",$106,"$2,117",Human Services,"Human Services - Civil Rights, Social Justice"
Athletes4Health,AKYSWSZU,,,,"$2,116",$0,"$2,116",,
Helix 45,AVHGSKEA,,,,"$2,113",$0,"$2,113",,
Local News for LA,AVZESPQR,,"A30: Media, Communications Organizations",,$745,"$1,368","$2,113",Arts & Culture,Arts & Culture - Media
Variety - the Children’s Charity of the Desert,AKSECGHV,Tier 6 (<$5K),,,$0,"$2,111","$2,111",,
California Channel Islands Marine Mammal Initiative,AZTHVXPA,,,,"$2,111",$0,"$2,111",,
Psalm One Three INC,ASPTAMRK,Tier 6 (<$5K),,,"$2,108",$0,"$2,108",,
B Local San Diego,ASWJUDGN,,S40: Business and Industry,88-3554704,$0,"$2,108","$2,108",Public and Society Benefit,Public & Society Benefit - General
Technology Association of Grantmakers,ASXMLGWQ,,,56-2558836,"$1,877",$217,"$2,094",,
FeelGood,ASUCGFZZ,,,,"$1,116",$976,"$2,092",,
Climb for Hope,UWYBBSWV,Tier 6 (<$5K),C30,20-4672910,$0,"$2,089","$2,089",Environment,Environment - General
VOA-Greater New York,AUCHUYBG,,P30: Childrens and Youth Services,,$11,"$2,060","$2,071",Human Services,Human Services - General
Presbyterian Psychological Services,ASMGFQZD,Tier 6 (<$5K),,,"$1,955",$108,"$2,064",Healthcare,"Healthcare - Mental Health, Abuse"
Labour's Environment Campaign - SERA,AABNTLJB,,,,"$2,022",$39,"$2,062",,
Global Citizen UK,AQUPNPQQ,,,,"$2,012",$44,"$2,056",,
Laura's House,AFDXPMRW,Tier 3 ($20K–$50K),P12,88-3208582,$0,"$2,051","$2,051",,
Ezras Cholim of Arizona,AJCWHVNU,Tier 6 (<$5K),,,$0,"$2,050","$2,050",,
Servicio Jesuita a Migrantes,ATVYVJGY,Tier 6 (<$5K),,,"$1,252",$790,"$2,042",,
Keychange,AFCJMJHW,Tier 6 (<$5K),,,"$1,989",$47,"$2,036",,
Future Projects,AZPSUBAP,Tier 5 ($5K–10K),"M00: Public Safety, Disaster Preparedness and Relief",,"$1,572",$461,"$2,034",Human Services,Human Services - Public Safety
Play it Strange Trust,AGYXPMBZ,Tier 6 (<$5K),,,"$1,981",$39,"$2,020",Human Services,Human Services - Sports & Youth Development
Step to Faith,AAGMVSXU,,X20,33-1617729,"$1,962",$55,"$2,017",Religion,Religion - Christian
Rocky Mountain Ranger Association,AUKSBKDS,,,,"$1,815",$198,"$2,013",,
Credo,AFHCAMYX,Tier 6 (<$5K),,23-7300058,"$1,552",$461,"$2,013",,
Qurʾān Academy for Young Scholars,AKJBSSFV,,,,"$1,952",$60,"$2,012",,
New Jersey Wing,ACMJTZWC,,,,"$1,687",$325,"$2,012",,
Universidad San Francisco de Quito,ADXNFJGZ,,,,"$1,910",$100,"$2,010",,
Parkinson's Foundation,AWQWPUEN,Tier 1 ($100K+),H800,13-1866796,$0,"$2,007","$2,007",Healthcare,Healthcare - General
"Transplants.org, Inc.",AKRJSWWC,Tier 6 (<$5K),H43,87-2539078,"$1,668",$326,"$1,994",,
YMCA of Central and Northern Westchester,ALHBCVYS,Tier 6 (<$5K),,13-1740518,"$1,019",$970,"$1,989",,
Redwood Forest Foundation,AXSJCUZW,,C34,68-0404767,"$1,987",$0,"$1,987",,
Diabetes Aid and Prevention Fund,AXWGYTNH,Tier 6 (<$5K),G80,46-5061740,"$1,382",$600,"$1,982",Healthcare,Healthcare - General
Shoresh Miami,AKAJNLJZ,,,,"$1,851",$130,"$1,981",Human Services,"Human Services - Housing, Shelter"
Paonia Literary Project,AGZRLLVV,,,,"$1,844",$135,"$1,979",,
California Coalition for Perinatal Mental Health & Justice (CCPMHJ),ARMRRFLB,,,,"$1,950",$27,"$1,977",,
CornerHouse,AXSBTZVZ,Tier 6 (<$5K),I72,41-1640731,"$1,976",$0,"$1,976",,
Battle Buddies,ABCGNFBP,Tier 6 (<$5K),G99,46-1305196,"$1,527",$448,"$1,974",Human Services,"Human Services - Housing, Shelter"
Todos Santos Community,ABPPMVYN,,,,$523,"$1,449","$1,972",,
Academy for Sustainable Innovation,AHUKFEDY,Tier 6 (<$5K),,,"$1,790",$180,"$1,970",Science & Technology,Science & Technology - General
The Forum Canada,AYTQQZLP,,,,"$1,964",$0,"$1,964",,
One Nation,AXVVJETS,Tier 6 (<$5K),W24,27-1937961,$0,"$1,963","$1,963",,
Onward We Learn,ALMUGWXJ,Tier 6 (<$5K),B110,22-3031765,"$1,361",$600,"$1,961",,
Heart Forward,ATACNPCM,,W12,93-2603998,"$1,953",$0,"$1,953",,
Anti Animal Cruelty Campaign,ASDFVWEH,Tier 6 (<$5K),D30,82-0774591,$54,"$1,890","$1,943",Animal Welfare,Animal Welfare - General
Kwanele South Africa,AZSWGZFG,Tier 6 (<$5K),,,"$1,031",$912,"$1,943",,
Music Will,AQWRBQVF,Tier 4 ($10K–$20K),A6C,94-3396568,$0,"$1,940","$1,940",Arts & Culture,Arts & Culture - General
Maji Safi Group,AHFHXWRR,Tier 6 (<$5K),T30,46-1712301,$0,"$1,938","$1,938",Public and Society Benefit,Public & Society Benefit - General
YIMBY Los Angeles,AXFJHAEZ,,,,$22,"$1,914","$1,935",,
BELL Foundation,APJXWUPW,Tier 6 (<$5K),,,$675,"$1,260","$1,935",Healthcare,"Healthcare - Mental Health, Abuse"
Heart Forward LA,ATACNPCM,,,,"$1,927",$0,"$1,927",,
Association of Brazilians in the United States - ABEU,AQXGFGPT,,,,"$1,921",$0,"$1,921",,
Release Over 20,AMMWLVNL,,C30: Natural Resources Conservation and Protection,87-2723826,"$1,763",$155,"$1,918",Environment,Environment - General
Charity Right UK,ANQBSTGG,Tier 3 ($20K–$50K),,,"$1,197",$720,"$1,917",,
DoSomething,AJPEMYKE,Tier 5 ($5K–10K),,,"$1,908",$0,"$1,908",,
Howell Conservation Fund,AULJLVXM,,C99,84-2776877,"$1,905",$0,"$1,905",Environment,Environment - General
Fay Rural Community Foundation,AEZZTBKB,Tier 6 (<$5K),,,"$1,900",$0,"$1,900",,
Leicester Productions,APLYKCJB,Tier 6 (<$5K),A31,92-0938446,"$1,776",$117,"$1,893",Arts & Culture,Arts & Culture - Media
Generosity Foundation,AMJPTLBN,,,,"$1,892",$0,"$1,892",Religion,Religion - General
LiveFull,ACAXQGYS,Tier 6 (<$5K),,,$0,"$1,890","$1,890",,
Project St Nicholas Returns,AYPVSVGE,Tier 6 (<$5K),P20,34-1786837,"$1,505",$385,"$1,890",Human Services,Human Services - General
Project Ramadan,AZZCPEAM,,,,$0,"$1,889","$1,889",,
Seven Seeds,AGDGZFNL,,,,"$1,778",$109,"$1,887",,
ARTICLE 19,AZEPDYHJ,Tier 6 (<$5K),R60: Civil Liberties Advocacy,27-1337098,$933,$947,"$1,880",Human Services,"Human Services - Civil Rights, Social Justice"
Prancewood Animal Foundation,AJWJUGDW,Tier 5 ($5K–10K),D12,92-3121151,$0,"$1,879","$1,879",Animal Welfare,Animal Welfare - General
"Institute for Education, Research, and Scholarships",AEXSUTPE,Tier 6 (<$5K),B82,72-1585854,"$1,877",$0,"$1,877",,
BOOM Charlotte,AZAYERQX,Tier 6 (<$5K),,,"$1,870",$0,"$1,870",,
Missional Labs Canada,AMPUCZTN,,,,$43,"$1,819","$1,862",,
Galapagos Guardians,AEBVFDGC,,,,$659,"$1,191","$1,850",,
Jami Masjid,ABKNZWKF,,,,$0,"$1,849","$1,849",,
The Great Hills Swim Team Inc (DBA Capital of Texas Aquatics),AVRYWLGX,Tier 6 (<$5K),,,"$1,163",$685,"$1,848",,
Al Massira International,AKDELAQP,Tier 4 ($10K–$20K),,,"$1,742",$100,"$1,842",,
The Forge Retreat,AJESJGKQ,,,,"$1,841",$0,"$1,841",,
Fund for Southern Communities,AJFBDSUV,Tier 5 ($5K–10K),T70Z,58-1426028,"$1,299",$538,"$1,837",Public and Society Benefit,Public & Society Benefit - General
Spirit tv,AKDTFPMW,,,,$805,"$1,021","$1,827",,
Cara Adelante,AEVYQRXD,,P30: Childrens and Youth Services,,"$1,325",$500,"$1,825",Human Services,Human Services - General
Entrada of Texas,AWFFCCPE,Tier 6 (<$5K),T20: Private Foundations,83-0901571,"$1,824",$0,"$1,824",Public and Society Benefit,Public & Society Benefit - General
G-PACT,ARACKZZT,,G80: Specifically Named Diseases,,"$1,791",$33,"$1,824",Healthcare,Healthcare - General
San Jose Inside,ASQFJQMV,,,,$0,"$1,823","$1,823",,
Street Soccer USA - Oakland,AYKWQHPY,,,,$0,"$1,819","$1,819",,
Angels & Demons Podcast,AWYAPNWP,,,,"$1,336",$476,"$1,812",,
Made Whole,AMFGTTPL,Tier 6 (<$5K),X20,35-2728452,$0,"$1,808","$1,808",Religion,Religion - Christian
New Mexico Wing,AXUGMZKF,,,,"$1,801",$0,"$1,801",,
WORLD,AXZEWDSN,,P99,86-3130966,$943,$847,"$1,789",,
Bayfront Maritime Center,APTNSDBE,Tier 6 (<$5K),,,"$1,259",$529,"$1,788",,
Oyate Tipi Cumini Yape inc.,ARVXHWJW,Tier 6 (<$5K),,,"$1,784",$0,"$1,784",Human Services,"Human Services - Housing, Shelter"
HaGesher HaBayita,AULCZXDN,Tier 6 (<$5K),,,$500,"$1,282","$1,782",Human Services,"Human Services - Civil Rights, Social Justice"
employU,AXMJSBPN,Tier 6 (<$5K),J20,45-2586290,"$1,537",$244,"$1,781",Public and Society Benefit,"Public & Society Benefit - Employment, Job"
The Village of Harmony Hill,AYWNXWRF,,L22,87-1680315,"$1,115",$666,"$1,781",,
Lewa Canada,AMHXNLHZ,,,,$333,"$1,448","$1,781",,
Ummah Masjid & Community Centre,AELQDFSM,,,,"$1,665",$112,"$1,777",,
Maryland Wing,AJRMUQGX,,,,"$1,245",$530,"$1,775",,
NÄCHSTENLIEBE WELTWEIT gGmbH,AVVGZCJE,,,,"$1,425",$343,"$1,769",,
Amazon Sacred Headwaters Alliance,AUNLNZGJ,,,,"$1,713",$55,"$1,768",,
Mental Health Research Canada,ARQWHNWJ,,,,"$1,609",$157,"$1,766",,
Idaho Interscholastic Cycling League,AAQZWDNF,,,,"$1,765",$0,"$1,765",,
Alianza por la Regeneración de la Comunidad (ARCo),AJMFBMTN,,,,"$1,762",$0,"$1,762",,
Thriving Communities,AHLXYSXH,,E70,88-1134493,"$1,719",$43,"$1,762",,
People's Action Institute,ARQBRUBW,,S02: Community Improvement and Capacity Building Management and Technical Assistance,36-2755109,"$1,597",$163,"$1,760",Public and Society Benefit,Public & Society Benefit - General
Fur & Feather Animal Sanctuary,AGBBNKYB,,D20,80-0285878,"$1,723",$33,"$1,756",Animal Welfare,Animal Welfare - General
Jacobs Refuge Fund,ALLSWADE,Tier 6 (<$5K),"S20: Community, Neighborhood Development, Improvement",88-2436286,$774,$974,"$1,748",Public and Society Benefit,Public & Society Benefit - General
inSite Proyectos de Arte,ABFVSSER,,,,"$1,744",$0,"$1,744",,
Let Us Contribute Initiative (LUCI),AQUPDBCG,,,,"$1,254",$489,"$1,743",,
Jefferson County Communities That Care,ALJYWTQA,,,,"$1,420",$322,"$1,742",,
The SHARP Foundation,ADARBPHT,,,,"$1,670",$72,"$1,742",,
Equipping the Saints,ACZEGQCH,Tier 6 (<$5K),,,"$1,566",$174,"$1,740",,
GBH Archives - Open Vault,APDALQDD,,,,"$1,604",$133,"$1,738",,
New York State Golf Association,ACZETLAF,Tier 6 (<$5K),,16-0866643,"$1,736",$0,"$1,736",Human Services,Human Services - Sports & Youth Development
Moby Dental,AWAWKMJA,Tier 6 (<$5K),E01,84-2823302,"$1,022",$703,"$1,725",Healthcare,Healthcare - General
FIRM / King of Kings Ministries,AHWMLNUZ,,,,$0,"$1,725","$1,725",,
Pipeline Films Impact Fund,ARUTTEFW,,,,"$1,721",$0,"$1,721",,
Alkarma TV Egypt,APAQTFDK,,,,"$1,461",$259,"$1,720",,
2 Million Children,AZREJNJR,Tier 6 (<$5K),B94,93-4730130,$0,"$1,709","$1,709",Education,Education - General
El Museo Cultural de Santa Fe,ASXJCUXK,Tier 6 (<$5K),A500,85-0422412,$349,"$1,351","$1,701",,
Gainesville is for People,ATSCWHWR,,,,$0,"$1,696","$1,696",,
Pilipino Workers Center of Southern California,ABNKQNQQ,,,,"$1,651",$35,"$1,686",,
The LADO Group,AMTJVHHV,Tier 6 (<$5K),X40,84-5056478,"$1,511",$171,"$1,682",Religion,Religion - Islamic
The Local Charity,ATXJYQCR,Tier 6 (<$5K),,,$760,$918,"$1,678",,
The Mentor Foundation USA,AEWRMETC,Tier 6 (<$5K),T99,13-7079425,"$1,671",$0,"$1,671",,
SOS UK,AQWYGZZF,,,,"$1,617",$52,"$1,669",,
Street Soccer USA - PDX,AQVYTHYL,,,,$0,"$1,668","$1,668",,
Code For The Planet,AEXDGMLV,,,,"$1,668",$0,"$1,668",,
Greater Crisfield Action Coalition,AKWUSUZF,Tier 6 (<$5K),P20,47-4245152,$0,"$1,661","$1,661",Public and Society Benefit,Public & Society Benefit - General
Progressive Turnout Project,ASYNMFUG,,,,"$1,559",$98,"$1,657",,
Dork Dancing,AUWNVTRX,,F80: Mental Health Association,99-2013875,"$1,356",$292,"$1,647",Healthcare,"Healthcare - Mental Health, Abuse"
Together For Ghana e.V.,ACLNKPHJ,Tier 6 (<$5K),,,$362,"$1,283","$1,645",,
Lake Superior Watershed Conservancy,ASZYSZQM,,C32,27-3304262,"$1,275",$369,"$1,643",,
Whittlesea Community Connections Inc,APHGWRRT,Tier 6 (<$5K),,,"$1,435",$207,"$1,643",,
Ihsan Welfare - CB,AQMTDYPE,,,,"$1,434",$207,"$1,641",,
Nisa Helpline,AWJPZWLC,Tier 6 (<$5K),,,$0,"$1,639","$1,639",,
"Duncan Tree Ventures, Inc.",JJWJPECQ,Tier 6 (<$5K),,,$240,"$1,395","$1,635",,
All Paws Matter Dog Rescue,AKQTUJDC,,,,"$1,420",$205,"$1,625",,
Side by Side Charitable Organization,AECYQBZE,Tier 6 (<$5K),Y12,81-2227466,$0,"$1,622","$1,622",Public and Society Benefit,Public & Society Benefit - General
Colorado Music Industry Alliance,AUSBFDGU,,,,$632,$989,"$1,621",,
Peace 4 Animals,AFFXRKKF,,D20,45-5110197,"$1,518",$98,"$1,616",Animal Welfare,Animal Welfare - General
Hawaii Wing,AJRGEJZX,,,,"$1,253",$358,"$1,611",,
FIFA Global Citizen Education Fund,AFFWSWKS,,,,"$1,601",$6,"$1,607",,
Dharma Academy,AFPLAJRX,,,,"$1,578",$26,"$1,604",,
Public Schools First McKinney,AEMQVKBP,,,,"$1,076",$524,"$1,600",Education,K-12 Education
Shady Hollow Assisted Riding,AVVLZXER,Tier 6 (<$5K),N69,31-1631455,$605,$993,"$1,598",Human Services,Human Services - Sports & Youth Development
Orlando YIMBY,AGNBDLGD,,,,$0,"$1,596","$1,596",,
TheraPrison,AQEJAZQV,,,,"$1,501",$93,"$1,594",,
Nevada North Interscholastic Cycling League,ANJYKPMK,,,,"$1,269",$323,"$1,592",,
Bright Foundation,ABYLRUUV,,,,"$1,587",$0,"$1,587",,
Wild Impact South Africa,APQYGEMF,,,,"$1,585",$0,"$1,585",,
Santa Cruz YIMBY,AFJUSNBM,,,,$0,"$1,584","$1,584",,
Youball Foundation INC,AJDMHEZQ,,N62,82-1549048,"$1,471",$108,"$1,579",,
Civics for Colorado,AZDYUKVV,,,,"$1,578",$0,"$1,578",,
FIRM / House of Prayer and Exploits (HOPE),AELQWVKW,,,,"$1,506",$64,"$1,570",,
Ihsan Welfare,AWLGWUTN,,X20,39-4041113,"$1,458",$107,"$1,566",Religion,Religion - Christian
Helping Haitian Angels,AYNJMYUK,Tier 6 (<$5K),,,$0,"$1,560","$1,560",,
Geeks Rule,ALWLUYPB,Tier 6 (<$5K),O50,47-1801035,"$1,163",$396,"$1,558",,
Patient Helpline,ASPQKFSR,,E60,47-5016851,$81,"$1,467","$1,548",,
Observatório Social do Brasil São Paulo,ALQQWMTY,,,,$17,"$1,528","$1,546",,
KEPHA,AVDRHEKR,Tier 6 (<$5K),,,"$1,543",$0,"$1,543",,
Kansas Interscholastic Cycling League,AZEFAMXQ,,,,$858,$681,"$1,539",,
Lavender League,APKQWQMP,Tier 6 (<$5K),N64,93-2295153,$736,$802,"$1,538",Human Services,Human Services - Sports & Youth Development
Canica de Oaxaca,AWHWVVHT,,,,$371,"$1,166","$1,537",,
CoCriança,AUJKUXSL,Tier 6 (<$5K),,,$0,"$1,537","$1,537",Human Services,Human Services - Sports & Youth Development
Club de Niños y Niñas de México,ALSLDPYX,,,,$0,"$1,536","$1,536",,
Public School Exit,AAPNMXKG,,B01: Education Alliances and Advocacy,85-1253870,"$1,313",$216,"$1,529",Education,Education - General
Annie's Place,AQVCZMPM,Tier 6 (<$5K),,,$188,"$1,340","$1,528",,
Lake Superior Watershed Conservancy INC,ALYYBRFD,Tier 6 (<$5K),C32,27-3304262,"$1,379",$149,"$1,527",,
Minnesota Wing,ASNBZMXK,,,,"$1,527",$0,"$1,527",,
First Presbyterian Academy,AZSLHWPU,Tier 6 (<$5K),B24,82-5362510,$560,$963,"$1,523",Education,K-12 Education
Barnardo's,AAUJQBZQ,Tier 1 ($100K+),,,$105,"$1,414","$1,519",,
Franklinton Farms,AXCDDQTV,Tier 6 (<$5K),K20,45-4023198,$0,"$1,516","$1,516",Food & Nutrition,Food - General
Verde Vida,AUAHGJYF,,"K30: Food Service, Free Food Distribution Programs",99-4964300,"$1,507",$0,"$1,507",Food & Nutrition,Food Banks
Linskill and North Tyneside Community Development Trust,AJEWYFNQ,,,,"$1,265",$238,"$1,503",,
Birds on a Wire Moms,ARPHYLHH,Tier 6 (<$5K),P46,45-2531057,$0,"$1,501","$1,501",Human Services,Human Services - General
Verein Nächstenliebe Weltweit Österreich,AJKFJVPP,,,,"$1,199",$303,"$1,501",Religion,Religion - Christian
Little Woman Home for Animals,GISPNQBI,Tier 6 (<$5K),D20,35-2159518,$0,"$1,501","$1,501",Animal Welfare,Animal Welfare - General
Changing Tunes,AKWCNTZA,Tier 6 (<$5K),,,"$1,501",$0,"$1,501",,
"ECONOMIC OPPORTUNITIES COUNCIL OF INDIAN RIVER COUNTY, INC.",AGYSDSGQ,Tier 6 (<$5K),S200,59-1144567,$873,$626,"$1,500",Public and Society Benefit,Public & Society Benefit - General
Boys & Girls Clubs of Northeast Florida,AKTHAQGA,Tier 3 ($20K–$50K),O23Z,59-6167630,$0,"$1,498","$1,498",Human Services,Human Services - Sports & Youth Development
Papal Office for Projects (POP),AJHCZLTQ,,,,"$1,496",$0,"$1,496",,
Penington Institute,ADEUJNRE,,,,"$1,050",$441,"$1,491",,
Global Voice Foundation,AXCVVXNB,,,,"$1,052",$438,"$1,490",,
Mentor - Latvia,AQQUZNXX,,,,$505,$983,"$1,488",,
Tumaini Hope for Children,AURGGQSX,,,,$21,"$1,457","$1,478",,
OneSight France,AWKAZWZA,,,,$892,$582,"$1,474",,
Sam Care,ANZJAJTA,Tier 6 (<$5K),,,"$1,398",$72,"$1,470",,
Climate Curve,AADSRJWU,Tier 6 (<$5K),,,"$1,469",$0,"$1,469",,
Community Relief UK,AMCLSAST,,,,$900,$566,"$1,465",,
Op Horizon - PSM,AMTNUFFU,,,,"$1,058",$402,"$1,460",,
RACE EQUALITY MATTERS CIC,ATQJNJQW,Tier 6 (<$5K),,,$288,"$1,167","$1,456",,
Star Scheme,ADCEMNVZ,Tier 6 (<$5K),,,"$1,398",$47,"$1,445",,
SIFT Media,AMDSNSWE,,,,$160,"$1,284","$1,444",,
Tri Action Life Center,AYCFYZZM,,X20,45-3479073,$146,"$1,292","$1,438",Religion,Religion - Christian
Dream Believer Foundation,AMLHFHEE,,D20,86-3034546,"$1,431",$0,"$1,431",Animal Welfare,Animal Welfare - General
Asheville For All,AWLWQLBN,,,,$0,"$1,430","$1,430",,
"AKA Foundation of Central PA, Inc.",ARYDSVRS,Tier 6 (<$5K),,,"$1,133",$289,"$1,421",Public and Society Benefit,Public & Society Benefit - General
Muslim Legal Fund of America,AAMRKAJS,Tier 2 ($50K–$100K),R20,01-0548371,$318,"$1,100","$1,418",,
Friends of Sawfish Conservation Society,AVHYHVFM,,,,"$1,187",$231,"$1,418",,
Lieber Institute (Brain Trust),AJESSFPT,,,,$0,"$1,412","$1,412",,
North Bay Housing Coalition,AQJDCGFN,Tier 6 (<$5K),P99,68-0299806,"$1,407",$0,"$1,407",Human Services,"Human Services - Housing, Shelter"
"Bledsoe Foundation, Inc.",AAHZHKNF,Tier 6 (<$5K),,81-4876300,$0,"$1,404","$1,404",Human Services,Human Services - Sports & Youth Development
YIMBY Fort Collins,ARENDMKM,,,,$0,"$1,397","$1,397",,
YIMBY Hampton Roads,AHQYGCHX,,,,$0,"$1,394","$1,394",,
The Hunger Project UK,ADWMKPEX,,,,$638,$755,"$1,394",,
Rollins College FeelGood,AMTZGQLK,,,,"$1,389",$0,"$1,389",,
Florida Interscholastic Cycling League,AUGKFTQE,,,,"$1,388",$0,"$1,388",,
All Kids Can Learn International,ADCFTCJB,Tier 6 (<$5K),,30-0281774,$0,"$1,387","$1,387",International Affairs,International Affairs - General
Casa Nutri,AHEAJPKG,,,,$792,$594,"$1,385",,
Sadaqah IOM,ABSLKTWW,,,,"$1,332",$40,"$1,373",,
Treedom for Palestine,AJXPNDHN,,"Q30: International Development, Relief Services",,"$1,372",$0,"$1,372",International Affairs,International Affairs - General
NUMA Streaming LLC,AJUAUJDQ,,,,$836,$535,"$1,371",,
Making A Change Group,AHWNCGFN,Tier 6 (<$5K),O50,80-0779697,$0,"$1,361","$1,361",Human Services,Human Services - Sports & Youth Development
Sports4Kids,AHHGACZB,,O50,84-4698405,"$1,060",$300,"$1,360",,
Amal Al-Umma,AGZGGZHS,,,,"$1,215",$138,"$1,353",,
RVA YIMBY,AWHHUVRQ,,,,$0,"$1,352","$1,352",,
Dumari,ARGZKWYP,,,,$983,$363,"$1,347",,
